title,link,error_type
Senior Frontend Developer | Agito Software & Consulting | LinkedIn,https://www.linkedin.com/jobs/view/4414314870/,external_form
10x Software Engineer | Lucidya | لوسيديا | LinkedIn,https://www.linkedin.com/jobs/view/4402242992/,form_needs_data
AI Application Developer | Pentanom | LinkedIn,https://www.linkedin.com/jobs/view/4413290070/,form_needs_data
Artificial Intelligence Engineer | GİZLİ | LinkedIn,https://www.linkedin.com/jobs/view/4356609031/,form_needs_data
AI Solutions Consultant | Pentanom | LinkedIn,https://www.linkedin.com/jobs/view/4413400509/,form_needs_data
Software Engineer (Fullstack) | Shipday | LinkedIn,https://www.linkedin.com/jobs/view/4405930647/,form_needs_data
Subject Matter Expert - Finance | Turing | LinkedIn,https://www.linkedin.com/jobs/view/4420490273/,form_needs_data
